first_allele,second_allele,"O(i,j)","E(i,j)","Rho(i,j)","E(i,j)*Rho(i,j)","var_observed(i,j)"
11,8,243.099999999998,251.34236400000535,0.8189633895516286,205.8401943593636,197.9080478000919
10,10,65.90000000000005,65.77927204998487,0.837481031866463,55.08889263184612,55.1031438000259
10,13,89.89999999999972,88.80954349998207,0.8310344827586248,73.8037930465372,74.548359800003
10,3,179.59999999999891,180.95964609998276,0.8321826280623676,150.59147386471963,148.8148767998291
10,18,163.09999999999914,147.93490059996444,0.8454322501532862,125.06893589043065,137.35796780017282
10,15,68.60000000000002,73.53582539998632,0.847813411078716,62.34465896885129,58.06588079997331
10,14,66.40000000000008,74.75815809998542,0.791265060240961,59.15351847248825,52.451820800056375
10,19,82.60000000000001,83.31085989998289,0.8193704600484256,68.26245760327892,67.54354479992269
10,9,74.1000000000001,75.75198349998566,0.816869095816462,61.879454267936836,60.4201837999533
10,8,129.89999999999932,142.02272759996595,0.8074672825250281,114.6787059119368,104.55251979993086
13,13,24.80000000000002,29.97576124999479,0.789516129032258,23.666346986891046,19.567699200007524
13,3,112.89999999999964,122.15811349999179,0.817626217891944,99.87967632581311,92.05507180009786
13,18,106.9999999999997,99.86452099997881,0.8571962616822469,85.60349407587007,91.49102000007441
13,15,47.20000000000007,49.640888999992164,0.82457627118644,40.9326991499935,38.87544319999575
13,14,52.000000000000085,50.46603349999158,0.844230769230768,42.604978281723604,43.84591999997568
13,19,52.80000000000007,56.23959649999002,0.7821969696969684,43.990441959272424,41.244243200020605
13,9,50.90000000000009,51.136922499991755,0.8249508840864421,42.185449425828075,41.938183800035205
13,8,101.49999999999986,95.8734659999797,0.8276847290640413,79.35300373062378,83.80395500006874
3,3,129.79999999999933,124.45559405000492,0.8146379044684211,101.3862443362685,105.40303920008516
3,18,212.99999999999835,203.4854325999785,0.8317370892018818,169.24638140569184,176.25262000009948
3,15,105.19999999999972,101.14901339999481,0.8273764258555171,83.68830918569951,86.81865920006251
3,14,113.29999999999956,102.83034009999382,0.8389232127096269,86.26675928071039,94.79326219991772
3,19,111.39999999999954,114.5946378999919,0.7951526032316024,91.12022464256141,88.3318007999102
3,9,101.89999999999971,104.1973534999943,0.7981354268891111,83.16359921643357,81.12232779998583
3,8,222.79999999999853,195.35319959997946,0.840035906642732,164.10370214152732,186.16720319990458
18,18,83.49999999999993,83.17488979997916,0.8118562874251491,67.52605724000698,67.65055499998779
18,15,81.4,82.68953639998377,0.8299754299754285,68.63028352804537,67.42748079994502
18,14,72.00000000000006,84.06402459998274,0.787499999999998,66.20041937248624,56.596320000037075
18,19,75.09999999999995,93.68136339997979,0.7356857523302254,68.92004431223538,55.13719980002968
18,9,93.79999999999981,85.18156099998299,0.829637526652454,70.66981958442103,77.64403119999893
18,8,143.39999999999912,159.70166159996003,0.7847977684797852,125.33350764616245,112.12872879990387
15,15,18.499999999999996,20.551753799997083,0.8297297297297295,17.052401125943522,15.343155000019491
15,14,31.90000000000005,41.786741399993694,0.7489028213166148,31.294208528083068,23.869647799978562
15,19,46.400000000000084,46.56735059999248,0.7987068965517228,37.193664078356,37.016940799963734
15,9,52.900000000000084,42.34224899999385,0.8485822306238171,35.93088010604387,44.83403180002174
15,8,95.59999999999978,79.38487439998445,0.8441422594142294,67.01212723931769,80.51721279998719
14,14,23.500000000000007,21.240666049996605,0.7893617021276592,16.766568307550504,18.538955000002478
14,19,36.10000000000006,47.34140589999193,0.74819944598338,35.42081366644828,26.983935800025133
14,9,46.30000000000008,43.046073499993355,0.8196544276457872,35.282904737035544,37.90712620000546
14,8,93.89999999999985,80.70443159998348,0.8478168264110781,68.42257507640792,79.43365580003837
19,19,25.00000000000002,26.378748049995227,0.8199999999999997,21.63057340099608,20.487499999980383
19,9,49.8000000000001,47.97075649999209,0.8409638554216846,40.341672333728184,41.830399199943365
19,8,95.99999999999979,89.93741639998063,0.8410416666666692,75.64111458473394,80.5556800000484
9,9,24.200000000000024,21.809161249996755,0.8438016528925623,18.402606310947682,20.40828719998228
9,8,74.49999999999994,81.7773059999837,0.8251006711409388,67.47451006468447,61.35899500003274
8,8,70.40000000000006,76.65961679998085,0.7778409090909083,59.62898602225777,54.660876799965145
